DateTime,AddedIPs,RemovedIPs
1536023556,67,54
1536024516,58,64
1536025466,70,71
1536026178,139,87
1536026914,88,64
1536027617,64,44
1536028365,35,60
1536029313,54,60
1536030282,71,133
1536031236,152,57
1536032204,76,123
1536033150,56,74
1536033866,76,42
1536034590,43,53
1536035300,48,168
1536036034,165,43
1536036987,52,174
1536037954,173,58
1536038910,44,65
1536039878,71,49
1536040839,51,64
1536041786,75,49
1536042740,59,51
1536043452,34,169
1536044421,186,55
1536045136,44,69
1536045876,57,61
1536046826,62,65
1536047541,73,52
1536048274,52,215
1536048988,62,79
1536049705,235,52
1536050422,61,68
1536051147,64,66
1536051865,61,45
1536052833,52,190
1536053547,200,68
1536054263,56,69
1536054980,72,51
1536055736,52,91
1536056670,78,120
1536057629,126,64
1536058340,78,69
1536059068,77,93
1536059786,117,61
1536060504,51,50
1536061221,50,70
1536061943,65,78
1536062669,88,237
1536063408,233,62
1536064355,59,72
1536065062,78,43
1536065782,46,87
1536066504,75,27
1536067229,31,36
1536068193,34,66
1536069155,61,234
1536069862,233,77
1536070590,80,255
1536071298,252,42
1536073004,70,80
1536073716,46,74
1536074665,83,74
1536075382,73,72
1536076107,75,76
1536076842,67,65
1536077799,80,56
1536078744,77,68
1536079450,62,21
1536080169,41,54
1536081137,55,52
1536081851,34,233
1536082582,233,47
1536083540,65,45
1536084506,48,38
1536085479,32,74
1536086419,65,231
1536087128,231,46
1536087856,65,42
1536088573,48,44
1536089293,45,235
1536090032,100,74
1536090987,84,105
1536091705,217,57
1536092436,50,75
1536093400,63,214
1536094370,80,98
1536095064,216,101
1536095791,103,53
1536096761,59,51
1536097452,36,101
1536098177,95,60
1536099142,69,61
1536099852,56,67
1536100572,62,202
1536101296,206,62
1536102045,56,33
1536102982,56,91
1536103944,79,53
1536104915,45,60
1536105884,54,133
1536106838,128,29
1536107545,40,77
1536108264,66,68
1536108982,68,212
1536109722,199,49
1536110670,66,46
1536111630,51,73
1536112339,63,91
1536113069,88,38
1536113789,33,62
1536114508,51,46
1536115472,50,48
1536116439,52,69
1536117392,70,47
1536118342,38,89
1536119049,74,46
1536119772,51,47
1536120498,46,66
1536121223,53,55
1536121935,58,116
1536122654,103,55
1536123367,60,37
1536124114,44,30
1536125076,36,49
1536126026,60,39
1536126990,37,64
1536127950,64,63
1536128681,51,59
1536129627,52,62
1536130340,65,47
1536131072,52,109
1536132029,121,86
1536132746,81,234
1536133466,235,50
1536134181,52,122
1536134913,116,110
1536135866,109,121
1536136844,134,46
1536137540,43,115
1536138273,116,154
1536138986,166,57
1536139707,54,67
1536140419,73,49
1536141148,56,54
1536141865,57,31
1536142603,29,50
