DateTime,Entries,UniqueIPs
1532859630,2436,2453
1532866830,2439,2456
1532875230,2441,2458
1532881830,2438,2455
1532888431,2434,2451
1532895630,2436,2453
1532902832,2436,2453
1532910030,2438,2455
1532917830,2438,2454
1532924450,2444,2460
1532932230,2442,2458
1532939450,2446,2462
1532946646,2443,2459
1532953835,2440,2456
1532961058,2437,2453
1532967630,2437,2453
1532976032,2431,2446
1532982631,2435,2450
1532989230,2435,2450
1532997031,2433,2448
1533004232,2437,2452
1533011430,2433,2448
1533018029,2431,2446
1533026431,2429,2444
1533034831,2428,2443
1533042031,2424,2439
1533049830,2429,2444
1533057631,2420,2435
1533065432,2419,2434
1533072032,2423,2438
1533079229,2417,2432
1533087030,2419,2434
1533094830,2413,2428
1533103231,2409,2424
1533111030,2403,2418
1533120031,2402,2417
1533127829,2399,2413
1533135631,2401,2415
1533142230,2396,2410
1533150031,2392,2406
1533156630,2391,2405
1533164430,2380,2394
1533171629,2383,2397
1533179430,2384,2398
1533187830,2383,2399
1533195032,2384,2400
1533202829,2385,2401
1533209431,2393,2409
1533216630,2391,2407
1533223230,2391,2407
1533230430,2387,2402
1533239430,2381,2396
1533247831,2366,2381
1533256830,2368,2383
1533264630,2363,2378
1533273630,2362,2377
1533282029,2355,2370
1533291030,2356,2371
1533298829,2353,2369
1533306629,2349,2365
1533313830,2350,2366
1533320429,2344,2360
1533327630,2341,2357
1533334830,2343,2359
1533342029,2342,2358
1533349231,2345,2361
1533355829,2338,2354
1533364230,2338,2354
1533370229,2337,2353
1533377429,2336,2352
1533382231,2334,2350
1533388829,2334,2350
1533396630,2334,2349
1533402055,2326,2341
1533408029,2326,2341
1533414630,2321,2336
1533420029,2327,2342
1533425431,2333,2348
1533431429,2338,2353
1533439829,2331,2346
1533446429,2337,2352
1533453629,2330,2345
1533461430,2329,2344
1533468030,2331,2346
1533475230,2332,2347
1533482430,2328,2343
1533489029,2327,2342
1533496230,2330,2345
1533501630,2328,2342
1533508844,2327,2341
1533515429,2330,2343
1533520830,2322,2336
1533526229,2320,2334
1533531630,2317,2331
1533538229,2324,2338
1533544830,2318,2331
1533550829,2318,2331
1533558030,2320,2333
1533565229,2316,2329
1533572430,2309,2322
1533579030,2308,2321
1533586230,2298,2311
1533593430,2295,2308
1533600629,2292,2305
1533607830,2282,2295
1533615630,2279,2292
1533622234,2279,2292
1533630030,2268,2281
1533637229,2270,2283
1533644430,2266,2279
1533651629,2267,2280
1533658229,2258,2271
1533665430,2256,2269
1533672630,2259,2272
1533679230,2264,2277
1533684629,2262,2275
1533690630,2262,2275
1533699029,2259,2272
1533705034,2264,2277
1533713429,2262,2275
1533720049,2268,2281
1533727229,2266,2279
1533734429,2272,2285
1533741629,2268,2281
1533749430,2264,2277
1533756629,2268,2281
1533763830,2269,2282
1533770429,2272,2285
1533778230,2268,2281
1533784830,2273,2286
1533792029,2270,2283
1533799229,2274,2287
1533805829,2271,2284
1533813030,2278,2291
1533819029,2279,2292
1533826229,2275,2288
1533833429,2280,2293
1533840629,2282,2295
1533847232,2286,2299
1533854430,2284,2297
1533862229,2280,2293
1533870030,2285,2298
1533876629,2284,2297
1533883830,2286,2299
1533891629,2286,2299
1533898229,2285,2298
1533905428,2286,2299
1533912630,2282,2295
1533920445,2280,2293
1533927040,2284,2297
1533935448,2283,2296
1533940829,2280,2293
1533948631,2277,2290
1533955229,2281,2294
1533962429,2286,2299
1533970229,2286,2298
1533977433,2287,2299
1533984029,2288,2300
1533990632,2294,2306
1533998429,2293,2305
1534004429,2300,2312
1534011029,2299,2311
1534018229,2298,2310
1534025430,2303,2315
1534032628,2298,2310
1534039830,2297,2309
1534045229,2292,2304
1534050629,2297,2309
1534056629,2292,2304
1534062630,2295,2307
1534068030,2292,2304
1534073451,2296,2308
1534079430,2290,2302
1534084829,2298,2310
1534092029,2294,2306
1534100430,2293,2305
1534107031,2298,2311
1534113630,2302,2315
1534120830,2302,2315
1534129830,2300,2313
1534135829,2305,2318
1534142435,2302,2315
1534149032,2308,2321
1534154430,2314,2327
1534160430,2314,2327
1534167630,2318,2331
1534174830,2314,2327
1534183830,2309,2322
1534190430,2307,2320
1534197030,2310,2323
1534203629,2306,2319
1534208430,2308,2321
1534215030,2313,2326
1534222229,2309,2322
1534229431,2311,2324
1534234829,2314,2327
1534240830,2312,2325
1534246232,2308,2321
1534252250,2314,2327
1534259431,2311,2324
1534268474,2310,2323
1534276230,2310,2322
1534283435,2308,2320
1534290641,2312,2324
1534298442,2300,2312
1534305630,2307,2319
1534311629,2305,2317
1534319430,2309,2321
1534326629,2305,2317
1534333230,2303,2315
1534337430,2305,2317
1534343491,2299,2311
1534351831,2298,2310
1534359630,2296,2308
1534366230,2301,2314
1534373431,2300,2313
1534380629,2297,2310
1534387830,2299,2312
1534394430,2303,2316
1534401630,2301,2315
1534405829,2298,2312
1534412432,2303,2317
1534417830,2296,2310
1534422629,2300,2314
1534428630,2301,2315
1534437630,2301,2315
1534446030,2303,2317
1534452633,2299,2313
1534459830,2296,2310
1534466444,2299,2313
1534473629,2296,2310
1534479631,2295,2309
1534486229,2297,2311
1534491630,2293,2307
1534497629,2292,2306
1534504231,2298,2312
1534509030,2295,2309
1534514430,2299,2313
