DateTime,Entries,UniqueIPs
1534990433,14157,14157
1534994034,14129,14129
1534997627,14078,14078
1535001228,14001,14001
1535004832,14025,14025
1535008434,14074,14074
1535012043,14081,14081
1535015631,14066,14066
1535019251,14040,14040
1535022834,14010,14010
1535026432,14017,14017
1535030032,14012,14012
1535033640,13992,13992
1535037244,13958,13958
1535040834,13911,13911
1535044430,13855,13855
1535048033,13873,13873
1535051635,13886,13886
1535055238,13867,13867
1535058828,13863,13863
1535062424,13836,13836
1535066024,13859,13859
1535069630,13883,13883
1535101907,13870,13870
1535105628,13889,13889
1535109224,13884,13884
1535112817,13881,13881
1535116441,13875,13875
1535120019,13902,13902
1535123631,13851,13851
1535127216,13827,13827
1535130833,13782,13782
1535134427,13781,13781
1535138039,13801,13801
1535141626,13800,13800
1535145229,13747,13747
1535148828,13713,13713
1535152420,13713,13713
1535156024,13692,13692
1535159616,13696,13696
1535163228,13648,13648
1535166823,13642,13642
1535170415,13610,13610
1535174001,13583,13583
1535177615,13591,13591
1535181213,13586,13586
1535184819,13613,13613
1535188415,13603,13603
1535192012,13604,13604
1535195625,13595,13595
1535199217,13574,13574
1535202813,13570,13570
1535206409,13570,13570
1535210019,13582,13582
1535213612,13541,13541
1535217214,13507,13507
1535220811,13507,13507
1535224420,13538,13538
1535228019,13566,13566
1535231619,13570,13570
1535235217,13553,13553
1535238818,13514,13514
1535242413,13504,13504
1535246005,13488,13488
1535249607,13504,13504
1535253207,13497,13497
1535256806,13484,13484
1535260409,13486,13486
1535264007,13507,13507
1535267611,13538,13538
1535271214,13584,13584
1535274816,13609,13609
1535278416,13626,13626
1535282009,13599,13599
1535285619,13599,13599
1535289216,13628,13628
1535292803,13643,13643
1535296411,13647,13647
1535300016,13631,13631
1535303628,13612,13612
1535307208,13534,13534
1535310809,13555,13555
1535314401,13501,13501
1535318010,13509,13509
1535321611,13495,13495
1535325205,13475,13475
1535328804,13484,13484
1535332409,13486,13486
1535336007,13488,13488
1535339602,13480,13480
1535343204,13477,13477
1535346799,13444,13444
1535350412,13420,13420
1535354004,13425,13425
1535357609,13438,13438
1535361210,13482,13482
1535364826,13469,13469
1535368413,13452,13452
1535372005,13443,13443
1535375608,13420,13420
1535379214,13427,13427
1535382804,13418,13418
1535386417,13464,13464
1535390008,13414,13414
1535393608,13419,13419
1535397207,13419,13419
1535400796,13427,13427
1535404401,13418,13418
1535408001,13388,13388
1535411599,13349,13349
1535415203,13322,13322
1535418792,13259,13259
1535422395,13260,13260
1535425988,13237,13237
1535429594,13215,13215
1535433192,13167,13167
1535436787,13118,13118
1535440379,13083,13083
